location;time of measurement;weekday;pedestrians count;temperature in ºc;weather condition;incidents
Hauptstraße (Süd), Erlangen;2024-01-10 03:00:00 +0100;Wednesday;8;-5;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-10 04:00:00 +0100;Wednesday;12;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 05:00:00 +0100;Wednesday;48;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 06:00:00 +0100;Wednesday;174;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 07:00:00 +0100;Wednesday;369;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 08:00:00 +0100;Wednesday;433;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 09:00:00 +0100;Wednesday;525;-6;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-10 10:00:00 +0100;Wednesday;615;-4;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-10 11:00:00 +0100;Wednesday;810;-3;partly-cloudy-day;
Hauptstraße (Süd), Erlangen;2024-01-10 12:00:00 +0100;Wednesday;1035;-1;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-10 13:00:00 +0100;Wednesday;971;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-10 14:00:00 +0100;Wednesday;1016;1;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-10 15:00:00 +0100;Wednesday;1033;1;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-10 16:00:00 +0100;Wednesday;1089;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-10 17:00:00 +0100;Wednesday;1022;-1;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 18:00:00 +0100;Wednesday;780;-2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 19:00:00 +0100;Wednesday;683;-2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 20:00:00 +0100;Wednesday;356;-2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 21:00:00 +0100;Wednesday;277;-3;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 22:00:00 +0100;Wednesday;222;-4;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-10 23:00:00 +0100;Wednesday;139;-5;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 00:00:00 +0100;Thursday;78;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 01:00:00 +0100;Thursday;30;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 02:00:00 +0100;Thursday;7;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 03:00:00 +0100;Thursday;5;-8;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 04:00:00 +0100;Thursday;15;-8;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 05:00:00 +0100;Thursday;44;-9;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 06:00:00 +0100;Thursday;74;-9;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 07:00:00 +0100;Thursday;364;-9;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 08:00:00 +0100;Thursday;432;-9;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 09:00:00 +0100;Thursday;560;-9;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 10:00:00 +0100;Thursday;747;-6;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 11:00:00 +0100;Thursday;878;-5;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 12:00:00 +0100;Thursday;1073;-3;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 13:00:00 +0100;Thursday;1103;-1;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 14:00:00 +0100;Thursday;974;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 15:00:00 +0100;Thursday;1107;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 16:00:00 +0100;Thursday;1259;0;clear-day;
Hauptstraße (Süd), Erlangen;2024-01-11 17:00:00 +0100;Thursday;1115;-1;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 18:00:00 +0100;Thursday;932;-2;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 19:00:00 +0100;Thursday;738;-3;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 20:00:00 +0100;Thursday;374;-5;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 21:00:00 +0100;Thursday;313;-5;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 22:00:00 +0100;Thursday;229;-6;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-11 23:00:00 +0100;Thursday;113;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-12 00:00:00 +0100;Friday;94;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-12 01:00:00 +0100;Friday;22;-7;clear-night;
Hauptstraße (Süd), Erlangen;2024-01-12 02:00:00 +0100;Friday;29;-7;partly-cloudy-night;
Hauptstraße (Süd), Erlangen;2024-01-12 03:00:00 +0100;Friday;17;-5;cloudy;
